x	f(x)
0	0
1	0.1429
2	0.2854
3	0.427
4	0.5675
5	0.7067
6	0.8446
7	0.9812
8	1.1169
9	1.2519
10	1.3867
11	1.5217
12	1.6576
13	1.7949
14	1.9344
15	2.0767
16	2.2226
17	2.3728
18	2.5281
19	2.6893
20	2.8571
21	3.0324
22	3.2158
23	3.4081
24	3.6101
25	3.8223
26	4.0454
27	4.2801
28	4.5268
29	4.7861
30	5.0586
31	5.3445
32	5.6442
33	5.9582
34	6.2867
35	6.6299
36	6.988
37	7.3611
38	7.7494
39	8.1528
40	8.5714
41	9.0052
42	9.454
43	9.9179
44	10.3967
45	10.8902
46	11.3983
47	11.9209
48	12.4579
49	13.009
50	13.5742
51	14.1533
52	14.7464
53	15.3532
54	15.974
55	16.6087
56	17.2575
57	17.9206
58	18.5984
59	19.2914
60	20
61	20.725
62	21.4671
63	22.2275
64	23.0072
65	23.8077
66	24.6304
67	25.4772
68	26.3501
69	27.2514
70	28.1836
71	29.1496
72	30.1525
73	31.1957
74	32.2832
75	33.4191
76	34.6081
77	35.8549
78	37.1652
79	38.5448
80	40
81	41.5377
82	43.1651
83	44.8904
84	46.7218
85	48.6685
86	50.7402
87	52.9472
88	55.3006
89	57.812
90	60.4939
91	63.3594
92	66.4225
93	69.6981
94	73.2017
95	76.9498
96	80.9598
97	85.25
98	89.8398
99	94.7493
100	100
